exercise_name,matched_video_title,video_url,confidence,needs_review
Dips,Bench Dips,https://www.youtube.com/watch?v=Ym3WUFeDkGo,0.46,TRUE
TRX Rear Foot Elevated Lunge,TRX Inverted Elevated Row,https://www.youtube.com/watch?v=E8fZLrjaKfY,0.55,TRUE
TRX Scap Push Up,TRX Push Up,https://www.youtube.com/watch?v=LC1ft-_JmeY,0.84,TRUE
TRX Y Raise,TRX Bridges,https://www.youtube.com/watch?v=TzoOmNDtngk,0.62,TRUE
DB Seated Toe Raises,DB Calf Raises,https://www.youtube.com/watch?v=1rczXb9XK0o,0.50,TRUE
Unilateral A Skips,A Skips,https://www.youtube.com/watch?v=dQdQyvzK9fA,0.42,TRUE
DB Lateral to Front Raise,DB Later Shoulder Raise,https://www.youtube.com/watch?v=0Q8gB5UQwCY,0.48,TRUE
DB JM Press,DB Bench Press,https://www.youtube.com/watch?v=vtU7w_hyMa4,0.60,TRUE
Workout,,,0.00,TRUE
DB High Pulls,DB Hammer Curls,https://www.youtube.com/watch?v=ESj6wvb-qyk,0.39,TRUE
A skips,A Skips,https://www.youtube.com/watch?v=dQdQyvzK9fA,1.00,false
Wall Angels With Band,,,0.00,TRUE
Zottman Curl,Leg Curl,https://www.youtube.com/watch?v=p6p9tn_z8xs,0.37,TRUE
Broad Jump to Stick Landing,,,0.00,TRUE
Wall Sit Holds,Wall Sit With Knee Lift,https://www.youtube.com/watch?v=YHKptWJJFWo,0.46,TRUE
Marches w/ Arm Drive + Pause,,,0.00,TRUE
Basketball Bump,,,0.00,TRUE
Loaded Calf Raise,Barbell Calf Raises,https://www.youtube.com/watch?v=ZJCbBUSr5mk,0.37,TRUE
Wall sit With Resistance Band,Wall Sit With Knee Lift,https://www.youtube.com/watch?v=YHKptWJJFWo,0.40,TRUE
Banded Triceps Extension Burnout,,,0.00,TRUE
Lateral Sled Drag,Lateral Leg Swing,https://www.youtube.com/watch?v=0Znd1GPvOVg,0.38,TRUE
Overhead KB walks,Off Set KB Walks,https://www.youtube.com/watch?v=J0jb03wk9rw,0.54,TRUE
Landmine Lateral Squat,Single Leg Lateral Squat,https://www.youtube.com/watch?v=pErj1JybRXk,0.51,TRUE
Kneeling KB Push Press,Kneeling SA KB Press,https://www.youtube.com/watch?v=UDIuMnCQ05c,0.52,TRUE
Kneeling KB Halo,Kneeling SA KB Press,https://www.youtube.com/watch?v=UDIuMnCQ05c,0.42,TRUE
Pistol squat negatives,,,0.00,TRUE
KB Z Curls,KB Squats,https://www.youtube.com/watch?v=UanKNRvFoJY,0.44,TRUE
Plank with Banded Row,Plank Slides,https://www.youtube.com/watch?v=mbr-zl-w31s,0.35,TRUE
KB Incline Floor Press,DB KB Bench Press,https://www.youtube.com/watch?v=kqvr19FNuVo,0.35,TRUE
KB Goblet Squat,KB Bulgarian Split Squat,https://www.youtube.com/watch?v=0mnb3BqVn1Y,0.49,TRUE
Banded Lateral Walks,Banded Lateral Plank Walk,https://www.youtube.com/watch?v=Dgi-R7DuG9Q,0.53,TRUE
Banded Hip Airplanes,,,0.00,TRUE
Pseudo Planche Holds,,,0.00,TRUE
20 yard sprint,,,0.00,TRUE
Push-Ups,Push Up,https://www.youtube.com/watch?v=6IjDFL2BdKs,0.55,TRUE
KB Curl to Press,DB KB Bench Press,https://www.youtube.com/watch?v=kqvr19FNuVo,0.46,TRUE
KB Bottoms Up Carry,,,0.00,TRUE
Isometric Row hold,,,0.00,TRUE
Sled Lateral Drag,,,0.00,TRUE
Eccentric Single Leg Hamstring Curl,SL Hamstring Curl,https://www.youtube.com/watch?v=RTzXIh9FGeU,0.77,TRUE
Dumbbell Z Press,DB Bench Press,https://www.youtube.com/watch?v=vtU7w_hyMa4,0.60,TRUE
Dumbbell Tate Press,DB Bench Press,https://www.youtube.com/watch?v=vtU7w_hyMa4,0.60,TRUE
Dumbbell Romanian Deadlift,DB RDL,https://www.youtube.com/watch?v=iGiH7rOYLhM,1.00,false
Isometric OH DB Hold,Lying OH DB Pullover,https://www.youtube.com/watch?v=pZBRqgzETYg,0.40,TRUE
Sharks & Minos,,,0.00,TRUE
Sled Push and Stop Sprint,,,0.00,TRUE
Eccentric Single Leg Hamstring Curl on Ball,SL Hamstring Curl,https://www.youtube.com/watch?v=RTzXIh9FGeU,0.58,TRUE
